"03-27-2025","Open PO Report by Vendor, Salesman, Date Created","From:01-27-2025 To 03-27-2025 (mm-dd-yyyy)","all","","","","","","",""
"","","","","","","","","","",""
"Vendor","Location","PO#","Status","Date Created","So#","AC#","Job Name","Sales Person","CP#","Open total"
"84 Lumber","Myrtle Beach","P134-1222346","Approved","03/17/2025","S134-308407","Toll Brothers - Myrtle Beach","22 Sanderling Bay","","maria.perdomo","177.20"
"","Myrtle Beach","P134-1222102","Approved","03/17/2025","","","","","maria.perdomo","7,379.64"
"","Myrtle Beach","P134-1216004","Approved","02/21/2025","S134-297554","Dream Finders Homes - Myrtle Beach","28 Promenade @ Grand Dunes","","maria.perdomo","33.00"
"","Myrtle Beach","P134-1210621","Approved","02/03/2025","S134-288657","Pulte Home Company, LLC  - Myrtle Beach","120 Crescent Cove","","maria.perdomo","182.68"
"","Greensboro","P125-1219358","Approved","03/05/2025","S125-303671","Century Complete - Greensboro","29 Hillsdale","","erica.smith","34.30"
"","Charlotte","P124-1225652","Approved","03/26/2025","S124-314346","Alan Simonini Homes, LLC - Charlotte","5408 Green Rea - A","","lisa.drye","326.25"
"","Charlotte","P124-1225651","Approved","03/26/2025","S124-314313","Shady Oak Homes LLC - Charlotte","8709 Providence","","lisa.drye","2,947.83"
"","Charlotte","P124-1225583","Approved","03/26/2025","S124-304083","","5408 Green Rea - A","","lisa.drye","0.00"
"","Charlotte","P124-1223370","Approved","03/19/2025","S124-309947","Planishek Properties-Charlotte","108 Sail High","","lisa.drye","1,666.56"
"","Charlotte","P124-1221532","Approved","03/13/2025","S124-306114","Barringer Homes - Charlotte","3030 Brookridge","","lisa.drye","2,239.44"
"","Charlotte","P124-1219599","Approved","03/06/2025","S124-304053","Alan Simonini Homes, LLC - Charlotte","5408 Green Rea - B","","lisa.drye","3,227.69"
"84 Lumber - Greensboro","Greensboro","P125-1218863","Approved","03/04/2025","S125-301239","Red Door Homes - Greensboro","Outlaw Residence","","amy.nugent.gboro","17.15"
"84 Lumber - Myrtle Beach","Myrtle Beach","P134-1224795","Approved","03/25/2025","S134-312674","Pulte Home Company, LLC  - Myrtle Beach","120 Crescent Cove","","kelly.walker","315.12"
"","Myrtle Beach","P134-1216399","Approved","02/24/2025","S134-298185","Dream Finders Homes - Myrtle Beach","27 Promenade at Grand Dunes","","maria.perdomo","33.00"
"","Myrtle Beach","P134-1216346","Approved","02/24/2025","S134-298148","Dream Finders Homes - Myrtle Beach","26 Promenade @ Grand Dunes","","maria.perdomo","33.00"
"","Myrtle Beach","P134-1216298","Approved","02/24/2025","S134-298106","Dream Finders Homes - Myrtle Beach","25 Promenade at Grand Dunes","","maria.perdomo","33.00"
"","Myrtle Beach","P134-1216245","Approved","02/24/2025","S134-298036","Dream Finders Homes - Myrtle Beach","24 Promenade @ Grand Dunes","","maria.perdomo","33.00"
"","Myrtle Beach","P134-1216174","Approved","02/24/2025","S134-297871","Dream Finders Homes - Myrtle Beach","23 Promenade @ Grande Dunes","","maria.perdomo","33.99"
"","Myrtle Beach","P134-1216123","Approved","02/24/2025","S134-297805","Dream Finders Homes - Myrtle Beach","32 Promenade @ Grand Dunes","","maria.perdomo","33.00"
"","Myrtle Beach","P134-1216064","Approved","02/21/2025","S134-297708","Dream Finders Homes - Myrtle Beach","31 Promenade @ Grand Dunes","","maria.perdomo","33.72"
"","Myrtle Beach","P134-1216055","Approved","02/21/2025","S134-297687","Dream Finders Homes - Myrtle Beach","30 Promenade @ Grand Dunes","","maria.perdomo","33.12"
"","Myrtle Beach","P134-1216038","Approved","02/21/2025","S134-297633","Dream Finders Homes - Myrtle Beach","29 Promenade @ Grand Dunes","","maria.perdomo","33.99"
"","Myrtle Beach","P134-1214091","Approved","02/12/2025","S134-293731","Toll Brothers - Myrtle Beach","1 Sanderling Bay","","maria.perdomo","141.76"
"","Myrtle Beach","P134-1213735","Approved","02/12/2025","S134-293244","Toll Brothers - Myrtle Beach","149 Ocean Isle Palms","","kelly.walker","11.00"
"","Myrtle Beach","P134-1212612","Approved","02/07/2025","S134-291349","Toll Brothers - Myrtle Beach","172 Sayebrook","","kelly.walker","117.48"
"","Myrtle Beach","P134-1211503","Approved","02/04/2025","S134-289763","Toll Brothers - Myrtle Beach","21 Sanderling Bay","","kelly.walker","141.76"
"","Myrtle Beach","P134-1211438","Approved","02/04/2025","S134-289694","Toll Brothers - Myrtle Beach","18 Sanderling Bay","","maria.perdomo","22.00"
"","Myrtle Beach","P134-1211431","Approved","02/04/2025","S134-289687","Toll Brothers - Myrtle Beach","10 Sanderling Bay","","kelly.walker","177.20"
"","Myrtle Beach","P134-1211406","Approved","02/04/2025","S134-289493","Toll Brothers - Myrtle Beach","9 Sanderling Bay","","maria.perdomo","141.76"
"","Myrtle Beach","P134-1211341","Approved","02/04/2025","S134-289463","Toll Brothers - Myrtle Beach","8 Sanderling Bay","","kelly.walker","22.00"
"","Myrtle Beach","P134-1211310","Approved","02/04/2025","S134-289381","Toll Brothers - Myrtle Beach","6 Sanderling Bay","","maria.perdomo","141.76"
"","Myrtle Beach","P134-1211305","Approved","02/04/2025","S134-289428","Pulte Home Company, LLC  - Myrtle Beach","36 Crescent Cove","","christine.podlesny","102.14"
"","Myrtle Beach","P134-1211126","Approved","02/03/2025","S134-289185","Toll Brothers - Myrtle Beach","7 Sanderling Bay","","kelly.walker","35.44"
"","Myrtle Beach","P134-1211104","Approved","02/03/2025","S134-289157","Toll Brothers - Myrtle Beach","5 Sanderling Bay","","kelly.walker","141.76"
"","Myrtle Beach","P134-1211062","Approved","02/03/2025","S134-289090","Toll Brothers - Myrtle Beach","4 Sanderling Bay","","maria.perdomo","22.00"
"","Myrtle Beach","P134-1211053","Approved","02/03/2025","S134-289080","Toll Brothers - Myrtle Beach","3 Sanderling Bay","","kelly.walker","35.44"
"","Myrtle Beach","P134-1210995","Approved","02/03/2025","S134-289018","Toll Brothers - Myrtle Beach","2 Sanderling Bay","","maria.perdomo","22.00"
"84 Lumber- Charlotte","Charlotte","P124-1219619","Approved","03/06/2025","S124-304083","Alan Simonini Homes, LLC - Charlotte","5408 Green Rea - A","","lisa.drye","3,949.96"
"ABC Supply - BULK Myrtle Beach","Myrtle Beach","P134-1220655","Approved","03/11/2025","","","","","christine.podlesny","54,208.00"
"","Myrtle Beach","P134-1215003","Approved","02/17/2025","","","","","christine.podlesny","24,640.00"
"ABC Supply - Charleston","Charleston","P129-1219835","Approved","03/07/2025","S129-304523","Dan Ryan Builders - Charleston","11 Overlook at Noisette Creek","","megan.wilson1","138.16"
"ABC Supply - Charlotte","Charlotte","P124-1224896","Approved","03/25/2025","S124-312981","Stanley Martin Homes - Charlotte","72 Clairmont","","lisa.drye","364.01"
"","Charlotte","P124-1223781","Approved","03/21/2025","S124-310697","Alan Simonini Homes, LLC - Charlotte","1031 Huntington Park","","lisa.drye","2,836.50"
"","Charlotte","P124-1222534","Approved","03/18/2025","S124-308776","Lennar - Charlotte","131 Retreat at Cameron Commons","","james.raby1","1,248.28"
"","Charlotte","P124-1222307","Approved","03/17/2025","S124-308378","Lennar - Charlotte","81 Retreat at Cameron Commons","","james.raby1","1,378.10"
"","Charlotte","P124-1222055","Approved","03/17/2025","S124-308088","Lennar - Charlotte","130 Retreat at Camerons Commons","","james.raby1","1,304.31"
"","Charlotte","P124-1221795","Approved","03/14/2025","S124-307668","Lennar - Charlotte","132 Retreat at Cameron Commons","","james.raby1","1,145.41"
"","Charlotte","P124-1220282","Approved","03/10/2025","S124-305133","Lennar - Charlotte","133 Retreat at Cameron Commons","","gloria.martinez","823.25"
"","Charlotte","P124-1220200","Approved","03/10/2025","S124-305059","Lennar - Charlotte","134 Retreat at Cameron Commons","","gloria.martinez","881.92"
"","Charlotte","P124-1218926","Approved","03/04/2025","S124-303103","Lennar - Charlotte","135 Retreat at Cameron Commons","","gloria.martinez","1,271.88"
"","Charlotte","P124-1218915","Approved","03/04/2025","S124-303049","Lennar - Charlotte","136 Retreat at Cameron Commons","","gloria.martinez","1,059.07"
"","Charlotte","P124-1218850","Approved","03/04/2025","S124-302747","Lennar - Charlotte","137 Retreat at Cameron Commons","","gloria.martinez","1,151.08"
"","Charlotte","P124-1217779","Approved","02/27/2025","S124-301128","Stanley Martin Homes - Charlotte","15 Clairmont","","lisa.drye","520.52"
"","Charlotte","P124-1216907","Approved","02/25/2025","S124-299297","Stanley Martin Homes - Charlotte","17 Clairmont","","lisa.drye","325.10"
"","Charlotte","P124-1216182","Approved","02/24/2025","S124-297570","Lennar - Charlotte","191 Retreat at Cameron Commons","","gloria.martinez","719.05"
"ABC Supply - Charlotte - Stanley Martin","Charlotte","P124-1225657","Approved","03/26/2025","S124-314374","Stanley Martin Homes - Charlotte","13 Clairmont","","lisa.drye","43.15"
"","Charlotte","P124-1224955","Approved","03/25/2025","S124-313213","Stanley Martin Homes - Charlotte","58 Clairmont","","lisa.drye","4,981.41"
"","Charlotte","P124-1224924","Approved","03/25/2025","S124-313115","Stanley Martin Homes - Charlotte","13 Clairmont","","lisa.drye","19.53"
"","Charlotte","P124-1224869","Approved","03/25/2025","S124-312866","Stanley Martin Homes - Charlotte","72 Clairmont","","lisa.drye","5,293.79"
"","Charlotte","P124-1224816","Approved","03/25/2025","S124-312745","Stanley Martin Homes - Charlotte","20 Clairmont","","lisa.drye","5,694.42"
"","Charlotte","P124-1224794","Approved","03/25/2025","S124-312636","Stanley Martin Homes - Charlotte","21 Clairmont","","lisa.drye","3,765.18"
"","Charlotte","P124-1224586","Approved","03/24/2025","S124-312132","Stanley Martin Homes - Charlotte","19 Clairmont","","lisa.drye","4,816.28"
"","Charlotte","P124-1224556","Approved","03/24/2025","S124-312085","Stanley Martin Homes - Charlotte","18 Clairmont","","lisa.drye","5,063.35"
"","Charlotte","P124-1217983","Approved","02/28/2025","S124-301464","Stanley Martin Homes - Charlotte","52 Clairmont","","lisa.drye","5,262.24"
"","Charlotte","P124-1217956","Approved","02/28/2025","S124-301377","Stanley Martin Homes - Charlotte","16 Clairmont","","lisa.drye","5,418.42"
"","Charlotte","P124-1217855","Approved","02/28/2025","S124-301130","Stanley Martin Homes - Charlotte","15 Clairmont","","lisa.drye","5,148.64"
"","Charlotte","P124-1216911","Approved","02/25/2025","S124-299304","Stanley Martin Homes - Charlotte","17 Clairmont","","lisa.drye","4,958.14"
"ABC Supply - Columbia","Columbia","P130-1225146","Approved","03/26/2025","S130-313421","Brian Casey Construction - Columbia","47 Wessex","","joseph.green","134.04"
"","Columbia","P130-1223839","Approved","03/21/2025","S130-310969","Lennar - Columbia","46 Edmund Hill Estates","","kaitlyn.stewart","122.02"
"","Columbia","P130-1223642","Approved","03/20/2025","S130-310558","Lennar - Columbia","17 Taylor Hill Midlands","","kaitlyn.stewart","114.58"
"","Columbia","P130-1223483","Approved","03/20/2025","S130-310166","Lennar - Columbia","16 Taylor Hill Midlands","","kaitlyn.stewart","58.50"
"","Columbia","P130-1223285","Approved","03/19/2025","S130-309842","Lennar - Columbia","14 Taylor Hill Midlands","","kaitlyn.stewart","58.50"
"","Columbia","P130-1222555","Approved","03/18/2025","S130-308782","Lennar - Columbia","15 Taylor Hill Midlands","","kaitlyn.stewart","32.65"
"","Columbia","P130-1221674","Approved","03/14/2025","S130-303775","Red Door Homes - Columbia","ThompsonS","","kaitlyn.stewart","119.99"
"","Columbia","P130-1220614","Approved","03/11/2025","S130-305447","Red Door Homes - Columbia","Williams","","kaitlyn.stewart","380.02"
"","Columbia","P130-1214143","Approved","02/13/2025","S130-293858","Great Southern Homes - Columbia","72 Collins Cove","","joseph.green","41.46"
"","Columbia","P130-1212236","Approved","02/06/2025","S130-290648","Great Southern Homes - Columbia","15 Collins Cove","","joseph.green","41.46"
"ABC Supply - Columbia - Stanley Martin","Columbia","P130-1225723","Approved","03/27/2025","S130-314444","Stanley Martin Homes - Columbia","375 Ridge at Longview","","joseph.green","3,209.26"
"","Columbia","P130-1224542","Approved","03/24/2025","S130-312069","Stanley Martin Homes - Columbia","4 Garners Mill","","joseph.green","11.10"
"","Columbia","P130-1223655","Approved","03/20/2025","S130-310596","Stanley Martin Homes - Columbia","21 Garners Mill","","joseph.green","3,841.97"
"","Columbia","P130-1223179","Approved","03/19/2025","S130-309799","Stanley Martin Homes - Columbia","144 Harvest Ridge","","joseph.green","3,264.06"
"","Columbia","P130-1222114","Approved","03/17/2025","S130-308192","Stanley Martin Homes - Columbia","368 Ridge at Longview","","joseph.green","3,351.45"
"","Columbia","P130-1222041","Approved","03/17/2025","S130-308072","Stanley Martin Homes - Columbia","143 Harvest Ridge","","joseph.green","2,979.18"
"","Columbia","P130-1221678","Approved","03/14/2025","S130-307395","Stanley Martin Homes - Columbia","140 Harvest Ridge","","joseph.green","2,832.98"
"","Columbia","P130-1221636","Approved","03/13/2025","S130-307330","Stanley Martin Homes - Columbia","141 Harvest Ridge","","joseph.green","3,884.24"
"","Columbia","P130-1221538","Approved","03/13/2025","S130-307138","Stanley Martin Homes - Columbia","142 Harvest Ridge","","joseph.green","3,187.13"
