"01-16-2025","Open PO Report by Vendor, Salesman, Date Created","From:12-18-2024 To 01-16-2025 (mm-dd-yyyy)","all","","","","","","",""
"","","","","","","","","","",""
"Vendor","Location","PO#","Status","Date Created","So#","AC#","Job Name","Sales Person","CP#","Open total"
"84 Lumber","Myrtle Beach","P134-1201784","Approved","12/19/2024","S134-273416","Toll Brothers - Myrtle Beach","92 Sayebrook","","maria.perdomo","197.11"
"","Greensboro","P125-1207133","Approved","01/16/2025","","Starlight Homes - Greensboro","","","erica.smith","34.20"
"","Greensboro","P125-1207111","Approved","01/16/2025","S125-282583","Starlight Homes - Greensboro","2 Magnolia Ridge","","erica.smith","34.20"
"","Greensboro","P125-1207087","Approved","01/16/2025","S125-282562","Starlight Homes - Greensboro","1 Magnolia Ridge","","erica.smith","34.20"
"","Greensboro","P125-1206215","Approved","01/14/2025","S125-281305","Starlight Homes - Greensboro","27 Magnolia Ridge","","erica.smith","34.20"
"","Greensboro","P125-1205912","Approved","01/13/2025","S125-280779","Starlight Homes - Greensboro","26 Magnolia Ridge","","erica.smith","34.20"
"","Greensboro","P125-1205823","Approved","01/13/2025","S125-280689","Starlight Homes - Greensboro","25 Magnolia Ridge","","erica.smith","34.20"
"","Greensboro","P125-1205751","Approved","01/13/2025","S125-280626","Starlight Homes - Greensboro","24 Magnolia Ridge","","erica.smith","34.20"
"","Greensboro","P125-1203678","Approved","01/03/2025","","Starlight Homes - Greensboro","","","erica.smith","34.20"
"","Greensboro","P125-1203662","Approved","01/03/2025","","Starlight Homes - Greensboro","","","erica.smith","30.00"
"","Charlotte","P124-1207032","Approved","01/16/2025","S124-213794","Holliday Homes - Charlotte","20444 Island Forest","","lisa.drye","8,108.78"
"84 Lumber - Myrtle Beach","Myrtle Beach","P134-1206796","Approved","01/15/2025","","","","","christine.podlesny","1,026.00"
"","Myrtle Beach","P134-1201765","Approved","12/19/2024","S134-273351","Toll Brothers - Myrtle Beach","14 Sayebrook","","christine.podlesny","416.83"
"84 Lumber- Charlotte","Charlotte","P124-1204532","Approved","01/07/2025","S124-277608","Holliday Homes - Charlotte","606 Walnut","","lisa.drye","675.96"
"ABC Supply - BULK Myrtle Beach","Myrtle Beach","P134-1206108","Approved","01/14/2025","","","","","christine.podlesny","12,680.00"
"","Myrtle Beach","P134-1206104","Approved","01/14/2025","","","","","christine.podlesny","19,712.00"
"","Myrtle Beach","P134-1203801","Approved","01/06/2025","","","","","christine.podlesny","17,880.00"
"","Myrtle Beach","P134-1203403","Approved","01/02/2025","","","","","maria.perdomo","19,712.00"
"ABC Supply - Charleston","Charleston","P129-1203866","Approved","01/06/2025","S129-277520","K. Hovnanian - Charleston","3 Stono Village","","megan.wilson1","8,870.92"
"ABC Supply - Charlotte","Charlotte","P124-1207096","Approved","01/16/2025","S124-282566","Lennar - Charlotte","145 Retreat at Cameron Commons","","gloria.martinez","115.10"
"","Charlotte","P124-1207029","Approved","01/16/2025","S124-282416","Lennar - Charlotte","155 Retreat at Cameron Commons","","gloria.martinez","81.75"
"","Charlotte","P124-1206960","Approved","01/16/2025","S124-282290","Lennar - Charlotte","141 Retreat at Cameron Commons","","gloria.martinez","54.75"
"","Charlotte","P124-1206941","Approved","01/16/2025","S124-282240","Lennar - Charlotte","156 Retreat at Cameron Commons","","gloria.martinez","1,175.72"
"","Charlotte","P124-1203262","Approved","12/30/2024","S124-276439","Stanley Martin Homes - Charlotte","56 Clairmont","","lisa.drye","325.10"
"","Charlotte","P124-1203153","Approved","12/27/2024","S124-276246","Stanley Martin Homes - Charlotte","57 Clairmont","","lisa.drye","520.52"
"","Charlotte","P124-1200986","Approved","12/18/2024","S124-247490","Samet Corporation - Charlotte","3100 North Tryon Avery Hall","","katesia.moss","82.68"
"ABC Supply - Charlotte - Stanley Martin","Charlotte","P124-1205454","Approved","01/10/2025","S124-279676","Stanley Martin Homes - Charlotte","55 Clairmont","","lisa.drye","4,755.03"
"","Charlotte","P124-1205194","Approved","01/09/2025","S124-279355","Stanley Martin Homes - Charlotte","54 Clairmont","","lisa.drye","5,267.84"
"","Charlotte","P124-1204965","Approved","01/08/2025","S124-278676","Stanley Martin Homes - Charlotte","53 Clairmont","","lisa.drye","4,420.98"
"","Charlotte","P124-1203252","Approved","12/30/2024","S124-276394","Stanley Martin Homes - Charlotte","56 Clairmont","","lisa.drye","4,551.47"
"","Charlotte","P124-1203184","Approved","12/30/2024","S124-276243","Stanley Martin Homes - Charlotte","57 Clairmont","","lisa.drye","5,472.85"
"","Charlotte","P124-1203033","Approved","12/26/2024","S124-276045","Stanley Martin Homes - Charlotte","59 Clairmont","","lisa.drye","5,054.32"
"ABC Supply - Columbia","Columbia","P130-1206792","Approved","01/15/2025","S130-281863","Stanley Martin Homes - Columbia","336 Terrace at Longview","","joseph.green","776.72"
"","Columbia","P130-1206581","Approved","01/15/2025","S130-281698","Stanley Martin Homes - Columbia","335 Terrace at Longview","","joseph.green","974.00"
"","Columbia","P130-1206227","Approved","01/14/2025","S130-281295","Stanley Martin Homes - Columbia","334 Terrace at Longview","","joseph.green","810.15"
"","Columbia","P130-1204491","Approved","01/07/2025","S130-278109","Stanley Martin Homes - Columbia","292 Terrace at Longview","","joseph.green","911.62"
"","Columbia","P130-1204151","Approved","01/06/2025","S130-277798","Great Southern Homes - Columbia","70 Rolling Hills","","joseph.green","74.16"
"ABC Supply - Columbia - Stanley Martin","Columbia","P130-1207118","Approved","01/16/2025","S130-278246","Stanley Martin Homes - Columbia","378 Ridge at Longview","","joseph.green","469.08"
"","Columbia","P130-1206959","Approved","01/16/2025","S130-276765","Stanley Martin Homes - Columbia","387 Ridge at Longview","","joseph.green","776.73"
"","Columbia","P130-1206802","Approved","01/15/2025","S130-281863","Stanley Martin Homes - Columbia","336 Terrace at Longview","","joseph.green","3,311.56"
"","Columbia","P130-1206584","Approved","01/15/2025","S130-281698","Stanley Martin Homes - Columbia","335 Terrace at Longview","","joseph.green","3,726.35"
"","Columbia","P130-1206229","Approved","01/14/2025","S130-281295","Stanley Martin Homes - Columbia","334 Terrace at Longview","","joseph.green","2,715.62"
"","Columbia","P130-1206221","Approved","01/14/2025","S130-277313","Stanley Martin Homes - Columbia","388 Ridge at Longview","","joseph.green","136.23"
"","Columbia","P130-1205610","Approved","01/13/2025","S130-277442","Stanley Martin Homes - Columbia","337 Terrace at Longview","","joseph.green","1,257.34"
"ABC Supply - Lennar","Myrtle Beach","P134-1207095","Approved","01/16/2025","S134-282478","Lennar - Myrtle Beach","50 Warner Crossing","","kelly.walker","1,760.47"
"","Myrtle Beach","P134-1207033","Approved","01/16/2025","S134-282414","Lennar - Myrtle Beach","49 Warner Crossing","","kelly.walker","2,419.08"
"","Myrtle Beach","P134-1207014","Approved","01/16/2025","S134-282399","Lennar - Myrtle Beach","368 Hidden Pines","","christine.podlesny","49.60"
"","Myrtle Beach","P134-1206925","Approved","01/16/2025","S134-282201","Lennar - Myrtle Beach","48 Warner Crossing","","kelly.walker","2,280.81"
"","Myrtle Beach","P134-1206819","Approved","01/15/2025","S134-281971","Lennar - Myrtle Beach","34 Tupelo Park","","maria.perdomo","41.00"
"","Myrtle Beach","P134-1205490","Approved","01/13/2025","S134-280114","Lennar - Myrtle Beach","84 Wood Stork Landing","","maria.perdomo","2,711.73"
"","Myrtle Beach","P134-1205281","Approved","01/10/2025","S134-279703","Lennar - Myrtle Beach","83 Wood Stork Landing","","maria.perdomo","2,955.23"
"","Myrtle Beach","P134-1205230","Approved","01/09/2025","S134-279597","Lennar - Myrtle Beach","82 Wood Stork Landing","","christine.podlesny","3,936.32"
"","Myrtle Beach","P134-1205224","Approved","01/09/2025","S134-279584","Lennar - Myrtle Beach","45 Wood Stork Landing","","kelly.walker","2,955.23"
"","Myrtle Beach","P134-1205223","Approved","01/09/2025","S134-279587","Lennar - Myrtle Beach","47 Wood Stork Landing","","maria.perdomo","3,081.68"
"","Myrtle Beach","P134-1205219","Approved","01/09/2025","S134-279575","Lennar - Myrtle Beach","46 Wood Stork Landing","","christine.podlesny","2,710.59"
"","Myrtle Beach","P134-1205110","Approved","01/09/2025","S134-279349","Lennar - Myrtle Beach","28 Indigo Creek","","maria.perdomo","4,607.60"
"","Myrtle Beach","P134-1204989","Approved","01/08/2025","S134-279153","Lennar - Myrtle Beach","27 Indigo Creek","","kelly.walker","3,216.18"
"","Myrtle Beach","P134-1204672","Approved","01/08/2025","S134-278813","Lennar - Myrtle Beach","110 Brunswick Plantation TH","","maria.perdomo","1,962.62"
"","Myrtle Beach","P134-1204662","Approved","01/08/2025","S134-278793","Lennar - Myrtle Beach","109 Brunswick Plantation TH","","maria.perdomo","1,204.16"
"","Myrtle Beach","P134-1204647","Approved","01/08/2025","S134-278765","Lennar - Myrtle Beach","108 Brunswick Plantation TH","","maria.perdomo","1,204.16"
"","Myrtle Beach","P134-1204627","Approved","01/08/2025","S134-278742","Lennar - Myrtle Beach","107 Brunswick Plantation TH","","maria.perdomo","2,055.62"
"","Myrtle Beach","P134-1202951","Approved","12/26/2024","S134-275906","Lennar - Myrtle Beach","11 Indigo Creek","","maria.perdomo","3,088.69"
"","Myrtle Beach","P134-1202886","Approved","12/26/2024","S134-275782","Lennar - Myrtle Beach","48 Wood Stork Landing","","maria.perdomo","5,046.04"
"","Myrtle Beach","P134-1202150","Approved","12/20/2024","S134-273805","Lennar - Myrtle Beach","97 Warner Crossing","","kelly.walker","3,053.61"
"","Myrtle Beach","P134-1202024","Approved","12/20/2024","S134-273801","Lennar - Myrtle Beach","96 Warner Crossing","","kelly.walker","2,032.94"
"","Myrtle Beach","P134-1201901","Approved","12/19/2024","S134-273706","Lennar - Myrtle Beach","33 Warner Crossing","","kelly.walker","2,013.38"
"","Myrtle Beach","P134-1201875","Approved","12/19/2024","S134-273625","Lennar - Myrtle Beach","77 Warner Crossing","","kelly.walker","2,280.81"
"","Myrtle Beach","P134-1201856","Approved","12/19/2024","S134-273532","Lennar - Myrtle Beach","75 Warner Crossing","","kelly.walker","1,854.27"
"","Myrtle Beach","P134-1201799","Approved","12/19/2024","S134-273444","Lennar - Myrtle Beach","76 Warner Crossing","","kelly.walker","2,032.94"
"","Myrtle Beach","P134-1201756","Approved","12/19/2024","S134-273340","Lennar - Myrtle Beach","74 Warner Crossing","","kelly.walker","2,013.38"
"","Myrtle Beach","P134-1201745","Approved","12/19/2024","S134-273328","Lennar - Myrtle Beach","32 Warner Crossing","","maria.perdomo","2,604.11"
"","Myrtle Beach","P134-1201724","Approved","12/19/2024","S134-273248","Lennar - Myrtle Beach","31 Warner Crossing","","kelly.walker","2,178.80"
"","Myrtle Beach","P134-1201644","Approved","12/19/2024","S134-273090","Lennar - Myrtle Beach","323 Hidden Pines","","maria.perdomo","4,589.55"
"","Myrtle Beach","P134-1201568","Approved","12/18/2024","S134-272971","Lennar - Myrtle Beach","321 Hidden Pines","","maria.perdomo","4,170.64"
"","Myrtle Beach","P134-1201567","Approved","12/18/2024","S134-272948","Lennar - Myrtle Beach","30 Warner Crossing","","kelly.walker","2,039.70"
"","Myrtle Beach","P134-1201456","Approved","12/18/2024","S134-272894","Lennar - Myrtle Beach","319 Hidden Pines","","maria.perdomo","4,309.67"
"","Myrtle Beach","P134-1201428","Approved","12/18/2024","S134-272875","Lennar - Myrtle Beach","320 Hidden Pines","","christine.podlesny","4,589.55"
"","Myrtle Beach","P134-1201404","Approved","12/18/2024","S134-272651","Lennar - Myrtle Beach","28 Warner Crossing","","kelly.walker","2,419.08"
"","Myrtle Beach","P134-1201397","Approved","12/18/2024","S134-272839","Lennar - Myrtle Beach","29 Warner Crossing","","maria.perdomo","1,854.27"
"","Myrtle Beach","P134-1201132","Approved","12/18/2024","S134-272656","Lennar - Myrtle Beach","318 Hidden Pines","","christine.podlesny","3,112.55"
"","Myrtle Beach","P134-1201067","Approved","12/18/2024","S134-272583","Lennar - Myrtle Beach","316 Hidden Pines","","christine.podlesny","4,084.38"
"","Myrtle Beach","P134-1201064","Approved","12/18/2024","S134-272573","Lennar - Myrtle Beach","317 Hidden Pines","","maria.perdomo","4,041.15"
"","Myrtle Beach","P134-1200994","Approved","12/18/2024","S134-272470","Lennar - Myrtle Beach","315 Hidden Pines","","maria.perdomo","4,721.85"
"","Myrtle Beach","P134-1200978","Approved","12/18/2024","","Lennar - Myrtle Beach","","","maria.perdomo","3,916.43"
"","Charleston","P129-1207119","Approved","01/16/2025","S129-282590","Lennar - Charleston","462 Cypress Preserve Arbor","","megan.wilson1","206.94"
"","Charleston","P129-1207028","Approved","01/16/2025","S129-282418","","462 Cypress Preserve Arbor","","megan.wilson1","1,441.21"
"","Charleston","P129-1206705","Approved","01/15/2025","S129-281868","Lennar - Charleston","35 Patriot Park","","megan.wilson1","9.84"
"","Charleston","P129-1206174","Approved","01/14/2025","S129-281174","Lennar - Charleston","438 Cypress Preserve Arbor","","megan.wilson1","96.00"
"","Charleston","P129-1206010","Approved","01/13/2025","S129-280889","Lennar - Charleston","439 Cypress Preserve Arbor","","megan.wilson1","192.00"
