"04-04-2025","Sales Comparison by Master Account","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Customer Name","Account #","NET MTD Sales","NET MTD Labor","NET GP%","NET MTDLY","NET MTDLY Labor","NET GP%","Comparison MTD-to-LYMTD","NET YTD","NET YTD Labor","NET GP%","NET LYTD","NET LYTD Labor","NET GP%","NET Comparison YTD-to-LYTD"
"A.B. Goodrich - Raleigh","A1650","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Adams Homes - Charlotte","A1545","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Adams Homes - North Raleigh Division","A1640","0.00","0.00","0","0.00","0.00","0","0","177224.18","0.00","15.73","129472.32","0.00","19.56","47751.86"
"Adams Homes - South Raleigh Division","21","330.50","0.00","259.57","8371.00","0.00","4.19","-8040.5","393021.55","0.00","17.72","420728.35","0.00","17.92","-27706.8"
"Adams Homes - Wilmington","A2071","0.00","0.00","0","0.00","0.00","0","0","178843.10","0.00","19.92","0.00","0.00","0","178843.1"
"Adams Homes Winterville Division - Raleigh","A1744","0.00","0.00","0","0.00","0.00","0","0","97498.95","0.00","16.3","0.00","0.00","0","97498.95"
"Adamski Construction Services - Raleigh","A1961","0.00","0.00","0","0.00","0.00","0","0","7288.00","0.00","19.89","0.00","0.00","0","7288"
"Addison Homes - Greenville","A1785","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","15776.00","0.00","18.92","-15776"
"Alan Simonini Homes, LLC - Charlotte","A1568","0.00","0.00","0","0.00","0.00","0","0","113120.69","0.00","28.81","0.00","0.00","0","113120.69"
"Alliance Multifamily Builders - Charlotte","A1965","0.00","0.00","0","0.00","0.00","0","0","646732.54","0.00","14.67","397053.98","0.00","21.99","249678.56"
"Alpha Contracting And Real Estate Group, LLC- Raleigh","A1916","0.00","0.00","0","0.00","0.00","0","0","9250.00","0.00","17.33","-1358.00","0.00","100","10608"
"Anchor Custom Homes - Raleigh","68","0.00","0.00","0","0.00","0.00","0","0","31324.99","0.00","-10.06","55592.00","0.00","23.66","-24267.01"
"Arden Homes - Greensboro","A1645","0.00","0.00","0","0.00","0.00","0","0","42560.20","0.00","-9.17","12388.26","0.00","26.34","30171.94"
"Ashton Woods - Charleston","A1691","0.00","0.00","0","0.00","0.00","0","0","466757.97","0.00","17.5","441552.33","0.00","-11.22","25205.64"
"Ashton Woods - Myrtle Beach","A2015","560.00","0.00","178.29","16988.99","0.00","5.63","-16428.99","142772.07","0.00","13.53","150181.98","0.00","14.04","-7409.91"
"Axon Homes, LLC - Charleston","A1834","0.00","0.00","0","0.00","0.00","0","0","25147.29","0.00","66.59","11844.38","0.00","-516.84","13302.91"
"BRHB2, LLC - Greensboro","A2053","0.00","0.00","0","0.00","0.00","0","0","-12200.00","0.00","99.18","0.00","0.00","0","-12200"
"Bailey Custom Homes, Inc. - Raleigh","A1801","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Baker Residential - Raleigh","42","0.00","0.00","0","0.00","0.00","0","0","154753.01","0.00","56.38","299233.19","0.00","12.07","-144480.18"
"Barringer Homes - Charlotte","A1533","0.00","0.00","0","0.00","0.00","0","0","110094.32","0.00","24.78","111903.72","0.00","33.69","-1809.4"
"Beazer Homes - Myrtle Beach","A2133","0.00","0.00","0","0.00","0.00","0","0","51763.00","0.00","10.09","0.00","0.00","0","51763"
"Beazer Homes - Raleigh","A1888","0.00","0.00","0","21428.00","0.00","16.33","-21428","323188.02","0.00","18.42","670651.00","0.00","18.43","-347462.98"
"Birch Home Builders LLC - Columbia","A2067","0.00","0.00","0","0.00","0.00","0","0","28125.00","0.00","4.57","0.00","0.00","0","28125"
"Blue Heel Construction- Raleigh","A1855","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","140627.94","0.00","23.35","-140627.94"
"Bobbitt Construction Inc. - Greensboro","A2008","0.00","0.00","0","0.00","0.00","0","0","21684.97","0.00","87.41","12791.00","0.00","67.1","8893.97"
"Bond Stone Holdings, LLC - Charlotte","A1662","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","11575.06","0.00","19.74","-11575.06"
"Brian Casey Construction - Columbia","A2005","0.00","0.00","0","0.00","0.00","0","0","14083.00","0.00","26.7","19790.00","0.00","46.52","-5707"
"Bryan Watkins- Raleigh","A1945","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","-850.00","0.00","46.72","850"
"Build On Your Land, LLC - Columbia","A1906","1275.00","0.00","22.09","12393.00","0.00","35.75","-11118","126376.98","0.00","12.91","148669.01","0.00","36.92","-22292.03"
"Buttrill Developments - Charlotte","A1971","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","4100.00","0.00","83.45","-4100"
"C. Herman - Charleston","A1766","0.00","0.00","0","0.00","0.00","0","0","57482.51","0.00","-23.01","985274.60","0.00","80.97","-927792.09"
"C. Herman - Charlotte","A1829","0.00","0.00","0","0.00","0.00","0","0","823249.45","0.00","19.74","565367.82","0.00","23.1","257881.63"
"C. Herman - Greenville","A1943","0.00","0.00","0","0.00","0.00","0","0","526967.33","0.00","58.83","428441.40","0.00","45.83","98525.93"
"C. Herman - Myrtle Beach","A1765","0.00","0.00","0","0.00","0.00","0","0","598120.14","0.00","69.32","0.00","0.00","0","598120.14"
"C. Herman - Raleigh","A1767","0.00","0.00","0","0.00","0.00","0","0","720507.32","0.00","67.29","0.00","0.00","0","720507.32"
