"03-07-2025","Sales Report by Location","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Location","MTD Net Sales","MTD Net Labor","MTD Net GP%","LYMTD Net Sales","LYMTD Net Labor","LYMTD Net GP%","Sales(Inc-Des)","YTD Net Sales","YTD Net Labor","YTD Net GP%","LYTD Net Sales","LYTD Net Labor","LYTD Net GP%","Sales(Inc-Des)"
"Charleston","2445.00","0.00","-1211.12","85365.67","0.00","-247.0000","-82920.67","1549721.01","0.00","-22.07","1535547.10","0.00","32.64","14173.91"
"Charlotte","121149.48","0.00","25.64","132761.32","0.00","9.5500","-11611.84","4770903.91","0.00","22.16","3638513.72","0.00","15.6","1132390.19"
"Columbia","44400.52","0.00","30.63","204011.10","0.00","41.6700","-159610.58","1088209.26","0.00","18.49","1857604.56","0.00","42.32","-769395.3"
"Greensboro","51940.99","0.00","20.55","42141.02","0.00","-14.8100","9799.97","819270.98","0.00","10.23","1653393.08","0.00","16.76","-834122.1"
"Greenville","192528.23","0.00","18.46","64572.06","0.00","14.5400","127956.17","1396212.76","0.00","16.75","1223533.49","0.00","22.71","172679.27"
"Myrtle Beach","374609.45","0.00","23.57","516911.78","0.00","15.7300","-142302.33","3193264.83","0.00","25.97","2589141.29","0.00","18.58","604123.54"
"Raleigh","289876.53","0.00","-31.86","218750.01","0.00","3.8700","71126.52","6816901.37","0.00","23.35","8721504.91","0.00","13.97","-1904603.54"
"Wilmington","168011.83","0.00","-11.89","120988.58","0.00","-1.1100","47023.25","1692037.88","0.00","9.02","2018806.40","0.00","44.08","-326768.52"
"Total","1244962.03","0","2.9927","1385501.54","0","-1.5561","-140539.51","21326522","0","17.8543","23238044.55","0","21.5145","-1911522.55"
